cement,water,superplastic,converted_age,converted_strength
212.1,180.3,5.7,9,3
155.0,193.0,9.0,5,1
401.8,147.4,11.4,2,4
279.8,172.4,9.5,5,5
158.4,219.7,11.0,5,1
265.0,195.0,6.0,5,4
237.5,228.0,0.0,12,3
290.4,168.1,9.4,2,2
425.0,153.5,16.5,6,5
277.1,160.6,11.8,4,4
213.5,154.6,11.7,4,3
146.0,182.0,3.0,5,2
425.0,153.5,16.5,3,4
500.1,200.0,3.0,5,4
295.7,171.5,8.9,6,4
213.5,154.6,11.7,6,5
141.9,173.5,10.9,5,4
491.0,201.0,3.9,5,5
148.1,181.4,15.0,5,1
313.3,175.5,8.6,8,5
362.6,164.9,11.6,6,5
250.0,191.8,5.3,9,4
212.0,159.0,7.8,6,4
148.0,158.0,16.0,5,1
393.0,192.0,0.0,5,3
286.3,144.7,11.2,2,2
233.8,197.9,4.6,9,3
213.7,154.8,10.2,6,4
254.0,198.0,0.0,11,2
475.0,228.0,0.0,14,4
379.5,153.9,15.9,8,5
355.9,193.3,11.0,5,4
153.0,178.0,8.0,5,1
318.0,210.0,6.0,5,4
159.1,175.6,11.3,5,3
285.0,163.0,7.6,5,5
379.5,153.9,15.9,2,2
314.0,179.0,8.0,5,4
331.0,192.0,0.0,2,1
424.0,178.0,8.5,5,5
159.0,175.0,15.0,5,2
318.8,155.7,14.3,6,5
168.0,121.8,5.7,4,1
385.0,186.0,0.0,3,2
212.1,180.3,5.7,6,3
194.7,165.6,7.5,4,2
239.6,185.7,0.0,5,3
310.0,192.0,0.0,13,3
181.4,169.6,7.6,4,2
310.0,192.0,0.0,7,3
375.0,186.0,0.0,5,3
310.0,192.0,0.0,3,1
297.0,186.0,0.0,3,3
295.7,171.5,8.9,2,2
475.0,181.1,8.9,3,5
144.0,176.0,6.0,5,1
446.0,162.0,10.3,6,5
321.4,182.5,11.5,5,3
350.0,203.0,0.0,3,1
313.3,178.5,8.0,5,4
316.1,185.7,0.0,3,2
362.6,164.9,11.6,3,5
397.0,185.7,0.0,5,3
540.0,173.0,0.0,5,5
313.3,175.5,8.6,5,5
355.0,145.0,12.3,5,5
307.0,193.0,0.0,5,2
312.9,177.6,9.6,5,5
153.6,220.1,10.1,5,1
214.9,155.6,9.6,9,5
143.0,190.7,8.4,5,2
362.6,164.9,11.6,2,3
153.0,192.0,0.0,5,1
194.7,170.2,7.5,9,4
142.0,174.0,11.0,5,4
272.8,185.7,0.0,5,3
133.0,192.0,0.0,7,3
387.0,157.0,11.6,3,4
389.9,145.9,22.0,8,5
332.5,228.0,0.0,12,4
190.0,228.0,0.0,7,4
275.1,159.5,9.9,6,5
166.1,176.5,4.5,4,2
469.0,137.8,32.2,2,4
356.0,160.0,9.0,5,5
307.0,193.0,0.0,14,3
200.0,192.0,0.0,3,1
313.0,178.0,8.0,5,4
251.8,146.1,12.4,2,2
218.9,158.5,11.3,2,1
277.0,191.0,0.0,4,2
520.0,175.0,5.2,5,5
277.2,160.7,11.2,5,5
401.8,147.4,11.4,5,5
397.0,186.0,0.0,5,3
362.6,164.9,11.6,5,5
236.0,192.0,0.0,2,1
141.3,203.5,0.0,7,3
231.8,174.0,6.7,5,3
349.0,192.0,0.0,11,4
167.4,175.5,7.8,2,1
491.0,210.0,3.9,2,2
213.5,159.2,11.7,5,4
393.0,192.0,0.0,5,3
305.3,203.5,0.0,3,2
298.0,210.0,11.0,5,3
287.0,188.0,9.0,5,4
425.0,151.4,18.6,5,5
250.2,203.5,0.0,7,4
277.2,160.7,11.2,6,5
284.0,168.3,7.2,5,4
424.0,178.0,8.5,2,3
167.4,175.5,7.8,9,5
350.0,203.0,0.0,11,3
202.0,206.0,1.7,5,2
139.6,192.0,0.0,5,2
238.0,185.0,0.0,5,1
424.0,168.0,8.9,3,4
239.6,185.7,0.0,3,2
401.8,147.4,11.4,8,5
425.0,153.5,16.5,5,5
446.0,162.0,11.6,2,2
154.0,220.0,10.0,5,1
380.0,228.0,0.0,14,5
178.0,179.9,3.6,4,3
164.0,197.0,8.0,5,2
160.0,168.0,12.0,5,3
167.4,175.5,7.8,5,4
165.0,163.8,0.0,9,3
233.8,197.9,4.6,5,2
316.1,185.7,0.0,5,3
323.7,183.8,10.3,6,5
250.0,191.8,5.3,5,2
387.0,157.0,14.3,5,5
158.0,220.0,11.0,5,1
288.0,192.0,0.0,2,1
213.5,154.6,11.7,9,5
213.7,181.7,6.9,5,4
190.3,166.6,9.9,2,1
313.0,178.0,8.0,5,2
296.0,192.0,0.0,7,2
359.0,154.0,10.9,5,5
153.1,178.5,8.0,5,2
298.0,186.0,6.0,5,4
140.0,200.0,7.0,5,3
139.6,192.0,0.0,11,4
147.0,202.0,9.0,5,1
288.0,192.0,0.0,3,2
183.9,203.5,0.0,3,1
203.5,203.5,0.0,2,1
144.8,180.8,11.1,5,1
141.3,203.5,0.0,3,1
297.2,174.8,9.5,2,2
135.0,180.0,10.0,5,1
531.3,141.8,28.2,2,4
276.4,179.6,8.9,5,4
342.0,228.0,0.0,12,5
540.0,173.0,0.0,3,5
